Module,Screen,Issue,Steps to Reproduce,Priority,Severity,Evidence,Status,Retesting Remarks,Retesting Evidence,Retesting Remarks,Retesting Evidence
Profile,Service Addresses,"Functionality Issue: Tapping on the toggle button results
in the deletion of the address","Profile >> Service Addresses >> Toggle Button >>
Tap on Back Button >> Service Addresses",Medium,Medium,XRecorder_11082023_114612.mp4,"Done with Mahmood , need add address validations on during add services.",Closed,,,
,Service Addresses,"Functionality Issue: ""Choose From Map"" field is not working properly","Profile >> Service Addresses >> Add Service Address >>
Choose From Map",Medium,Medium,XRecorder_11082023_114233.mp4,"Done....
As per document need to add country, state and city dropdown during
selecte address from provider side. Save address Api pending right now",Closed,,,
,,,,,,IMG_20230811_114444.jpg,,,,,
,,"UI Issue: Absence of Floating Label Text ""City""",Profile >> Service Addresses >> Add Service Address >> City,Low,Low,,,New Issue //Done,IMG_20230908_104716.jpg,,
,,"Functionality Issue: Unable to Add Service
                                Receive Toast Message: Too many attempts",Profile >> Service Addresses >> Add Service Address >> Add,Medium,Medium,,,New Issue,XRecorder_08092023_102145.mp4,,
,,,,,,,,,,,
Profile,Taxes,Grammatical Issue: No Texes Found,Profile >> Taxes,Low,Low,IMG_20230809_114336.jpg,Done,Reopened // Done,,Closed,
,,,,,,,,,,,
Profile,Change Password,"Password Display Issue: New password is being displayed in the login page
                                        without requiring proper confirmation",Profile >> Change Password,High,High,,Done,New Issue //Done,XRecorder_08092023_102735.mp4,Closed,
,,,,,,,,,,,
Handyman,,,,,,,,,,,
,,,,,,,,,,,
Profile,Chat,Alignment Issue: Placeholder text and cursor do not align properly,Profile >> Chat(Icon) >> Provider,Low,Low,IMG_20230809_121047.jpg,Done,Closed,,,
,Chat,Grammatical Issue: Are you sure want to perform this action?,Profile >> Chat(Icon) >> Provider >> Kebab menu >> Clear chat,Low,Low,IMG_20230809_105515.jpg,Done,Reopened,,Reopened,
,,,,,,,,,,,
Profile,About,Functionality Issue: User unable to see Helpline Number,Profile >> About >> Helpline Number,Medium,Medium,XRecorder_09082023_111932.mp4,Need from client side,,,,
,About,"Functionality Issue: ""Rate us"" field is not working properly",Profile >> About >> Rate Us,Low,Medium,,,New Issue //after published on play store it will work..,XRecorder_08092023_101534.mp4,,
,About,UI Issue: Same icons for different fields,Profile >> About,Low,Low,,,New Issue ,IMG_20230908_104654.jpg,,
,,,,,,,,,,,
Profile,Change Password,Functionality Issue: User unable to Change Password,Profile >> Change Password >> Save Changes,Medium,Medium,IMG_20230809_112505.jpg,"Demo account is not authorized, I have tested with another account, it is working fine.",Closed,,,
,,,,,,,,,,,
Profile,Edit Profile,Functionality Issue: User unable to Edit profile,Profile >> Edit Profile(Icon) >> Save Changes,Medium,Medium,IMG_20230809_112615.jpg,"Demo account is not authorized, I have tested with another account, it is working fine.",Closed,,,
,Edit Profile,Functionality Issue: Profile pic not changed,,,,,,,XRecorder_08092023_104047.mp4,,
Profile,Edit Profile,"Security Issue: Application fails to request necessary permissions
from the user when accessing “Gallery"" & ""Camera""","Profile >> Edit Profile(Icon) >> Edit DP >> Gallery
Profile >> Edit Profile(Icon) >> Edit DP >> Camera",High,High,XRecorder_09082023_111510.mp4,Done,Closed: For Camera,,,
,,,,,,XRecorder_09082023_132834.mp4,Done,Reopened: For Gallery //Done,,Reopened,
,Edit Profile,"Input Validation Issue: ""Email Address"" field accepts invalid input",Profile >> Edit Profile(Icon),Medium,Medium,IMG_20230811_162926.jpg,Done,,,,
,Edit Profile,"Input Validation Issue: ""Contact Number"" field accepts invalid input",Profile >> Edit Profile(Icon),Medium,Medium,IMG_20230811_163116.jpg,Done,Reopened //Already working,,Reopened,
,Edit Profile,"Functionality Issue: Users are able to save changes without 
                                completing mandatory fields",Profile >> Edit Profile(Icon) >> Save Changes,Medium,Medium,,Done,New Issue //Done,XRecorder_08092023_103727.mp4,Closed,
,,,,,,,,,,,
Dashboard,Dashboard,"Toast message Issue: Application displays a toast message that is
unrelated to the user's current action",Dashboard >> Today's Services / Upcoming Services,Medium,Low,XRecorder_09082023_112120.mp4,Done,Closed,,,
,Dashboard,"Functionality Issue: ""Upcoming Services"" is not working properly",Dashboard >> Upcoming Services,Medium,Medium,,Done,New Issue //Done,XRecorder_08092023_140722.mp4,Closed,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Test Environment,,,,,,,,,
,,Operating System: Android 10,,,,,,,,,
,,Model: Realme 3,,,,,,,,,
,,Device Type: Real Device,,,,,,,,,
,,App Type: APK File,,,,,,,,,
,,"Screen Size: 6.22""",,,,,,,,,
,,Screen Resolution(Physical): 720 x 1520,,,,,,,,,
,,Screen Resolution(Logical): 360 x 760,,,,,,,,,
,,Device Pixel Ratio(DPR): 2,,,,,,,,,
,,Aspect Ratio: 9:19,,,,,,,,,
